Row_ID,Sex,SatisfiedofSpaceAllocated,SatisfiedofHygieneAndSanitation,"Do you think there are enough healthcare facilities for Rohingya (like aid station, health centre, hospital)?",How satisfied are you with the quality of healthcare you and your family are receiving in the camp?,How satisfied are you with the level of psychological support you and your family are receiving in the camp?,How satisfied are you with the level of social support you and your family receive from neighbours and friends?,Do you think you are able to exercise your religion freely in the camp?,"How satisfied are you with the number of religious facilities (like madrasas, mosques) in the camp?",Do you think there are enough educational opportunities for Rohingya children below the age of 12 in the camp?,Do you think there are enough educational opportunities for Rohingya adolescents (between 12 and 18 years old) in the camp?,Do you think there are enough educational opportunities for Rohingya adults (older than 18 years old) in the camp?,How satisfied are you with the quality of education you and your family are receiving in the camp?,How satisfied are you with the number of job opportunities available to Rohingya adults in the camp?,How satisfied are you with the income your family makes in the camp?,How satisfied are you with the overall help you and your family have been receiving from NGOs?,How do you mostly hear about the news?,Who do you consider the most important person in your camp?,"Other than family, who do you go to when you have a problem?",Do you have enough good friends in the camp?,Do you consider any Bangladeshis as your friends?,Do you believe Rohingya and Bangladeshis can be good friends?,Do you think that there are Rohingya families who have married their daughter off to Bangladeshi boys/men?,Do you personally know any Rohingya family who has married their daughter off to a Bangladeshi boy/man?,How much do you trust the police/military/guards of camps in Bangladesh?,How much do you trust the NGOs in the camp?,How much do you trust the Majhis?,How much do you trust the Imam (religious leader)?,How often do you talk with Rohingya people outside Bangladesh and Myanmar?,In what countries are they now?,How often do you talk with others (non-Rohingya people) outside Bangladesh and Myanmar?,Do you often feel stressed or overwhelmed by your situation?,Do you prefer talking about your problems with others or trying to forget what you are going through?,Do you prefer solving your problems alone or by asking others for their help?,Does talking about your every day problems with others make you feel better?,How comfortable do you feel talking about your problems with NGO workers?,Do you think the situation in the camp is better now or 6 months ago?,Do you smoke cigarettes?,How many cigarettes a day on average?,Did you also smoke before coming to Bangladesh?,Do you chew betel nuts?,How many betel nuts a day on average?,Did you also chew before coming to Bangladesh?,Do you think that there are Rohingya in the camp who use medicine or drink syrup often without needing it?,Have you  ever seen any Rohingya in the camp use medicine or syrup often without needing it?,Do you think that there are Rohingya in the camp who use illegal substances (like alcohol or drugs)?,Have you ever seen any Rohingya in the camp use illegal substances (like alcohol or drugs)?,Do you think that there are Rohingya in the camp who are involved in illegal activities (like selling/transporting drinks or yaba)?,How often do you hear people talking about violent groups in the camp?,How do you think violence in the camp has changed over time?,Do you think that sexual harassment in the camp happens often?,Where does sexual harassment happen the most?,How afraid are you to leave your child unattended in the camp after it gets dark?,Do you think that there are Rohingya families whose child has gone missing since they moved to Bangladesh?,Do you personally know any Rohingya families whose child has gone missing since they moved to this camp?,To what extent do you feel at home in the camp in Bangladesh now?,Do you know that the Bangladesh government plans on moving Rohingya to Bhasan Char?,Are you willing to go?,Do you think that the government of Myanmar will recognize the rights of Rohingya in the next two years?,"If the Myanmar government recognizes the rights of Rohingya in the next two years, will you return to Myanmar?",Do you think that repatriation to Myanmar will happen in the next two years?,Do you personally know any Rohingya who left Bangladesh in the last six months?,Where did they go?,Have you thought about leaving to go to another country other than Myanmar and Bangladesh?,How scared are you to leave for another country?,Where do you think you will be in six months from now?,"If you could choose any country in the world, other than Myanmar, where would you go?",Where do you think the majority of Rohingya would choose to go if they could choose freely (apart from Myanmar)?,How do you feel about the future?,EnoughHealthcareFacilities
12780,Female,Satisfied,Satisfied,,Unsatisfied,Unsatisfied,Unsatisfied,TRUE,Very satisfied,TRUE,No,FALSE,Satisfied,Unsatisfied,Unsatisfied,Satisfied,Family,Head Mahji,Block Majhi,TRUE,FALSE,TRUE,FALSE,,A lot of trust,Quite a bit of trust,A lot of trust,A lot of trust,More than once a week,,Never,TRUE,talking,I ask for help,TRUE,Neither comfortable nor uncomfortable,now,FALSE,,,FALSE,,,No,,No,,No,Never,Decreased,No,,Very afraid,TRUE,FALSE,Very little,Yes,No,FALSE,TRUE,FALSE,No,,FALSE,scared,"Here, in the camp",Saudi Arabia,Saudi Arabia,neither positive nor negative,TRUE
12781,Female,Unsatisfied,Satisfied,,Unsatisfied,Unsatisfied,Unsatisfied,TRUE,Very satisfied,TRUE,No,FALSE,Unsatisfied,Very unsatisfied,Unsatisfied,Satisfied,Friends and neighbours,CIC,Block Majhi,TRUE,FALSE,TRUE,FALSE,,A lot of trust,Quite a bit of trust,A lot of trust,A lot of trust,More than once a week,,Never,TRUE,talking,I ask for help,TRUE,Comfortable enough,now,FALSE,,,TRUE,5,Yes,No,,No,,No,Never,Decreased,No,,Very afraid,TRUE,FALSE,Not at all,Yes,No,TRUE,TRUE,TRUE,No,,FALSE,very scared,"Here, in the camp","Malaysia, Saudi Arabia",Saudi Arabia,negative,TRUE
12782,Female,Satisfied,Satisfied,,Unsatisfied,Unsatisfied,Unsatisfied,TRUE,Very satisfied,TRUE,No,FALSE,Unsatisfied,Very unsatisfied,Unsatisfied,Satisfied,Family,Head Mahji,Block Majhi,TRUE,FALSE,TRUE,FALSE,,A lot of trust,A lot of trust,A lot of trust,A lot of trust,More than once a week,,Never,TRUE,talking,I ask for help,TRUE,Neither comfortable nor uncomfortable,now,FALSE,,,FALSE,,,No,,No,,No,Never,Decreased,No,,Very afraid,TRUE,FALSE,Very little,Yes,No,TRUE,TRUE,TRUE,No,,FALSE,very scared,"Here, in the camp","Malaysia, Saudi Arabia","Malaysia, Saudi Arabia",neither positive nor negative,TRUE
12783,Female,Satisfied,Satisfied,,Unsatisfied,Unsatisfied,Unsatisfied,TRUE,Very satisfied,TRUE,No,FALSE,Unsatisfied,Very unsatisfied,Unsatisfied,Satisfied,Family,CIC,Block Majhi,TRUE,FALSE,TRUE,FALSE,,A lot of trust,Quite a bit of trust,A lot of trust,A lot of trust,Once a week,,Never,TRUE,talking,I ask for help,TRUE,Comfortable enough,now,FALSE,,,FALSE,,,No,,No,,No,Never,Decreased,No,,Very afraid,TRUE,FALSE,Not at all,Yes,No,FALSE,TRUE,FALSE,No,,FALSE,scared,"Here, in the camp",Saudi Arabia,Saudi Arabia,negative,TRUE
12784,Female,Unsatisfied,Satisfied,,Unsatisfied,Unsatisfied,Unsatisfied,TRUE,Very satisfied,TRUE,No,FALSE,Unsatisfied,Unsatisfied,Unsatisfied,Satisfied,Friends and neighbours,CIC,Block Majhi,TRUE,FALSE,TRUE,FALSE,,A lot of trust,Quite a bit of trust,A lot of trust,A lot of trust,Never,,Never,TRUE,talking,I ask for help,TRUE,Comfortable enough,now,FALSE,,,TRUE,5,Yes,No,,No,,No,Never,Decreased,No,,Very afraid,TRUE,FALSE,Not at all,Yes,No,FALSE,TRUE,FALSE,No,,FALSE,very scared,"Here, in the camp",Saudi Arabia,Saudi Arabia,negative,TRUE
12785,Female,Unsatisfied,Satisfied,,Unsatisfied,Unsatisfied,Unsatisfied,TRUE,Very satisfied,TRUE,No,FALSE,Unsatisfied,Very unsatisfied,Unsatisfied,Satisfied,Friends and neighbours,Head Mahji,Block Majhi,TRUE,FALSE,TRUE,FALSE,,A lot of trust,Quite a bit of trust,A lot of trust,A lot of trust,Three times a month,,Never,TRUE,talking,I ask for help,TRUE,Comfortable enough,now,FALSE,,,TRUE,5,Yes,No,,No,,No,Never,Decreased,No,,Very afraid,TRUE,FALSE,Not at all,Yes,No,FALSE,TRUE,FALSE,No,,FALSE,scared,"Here, in the camp",Saudi Arabia,Saudi Arabia,negative,TRUE
12786,Female,Satisfied,Satisfied,,Unsatisfied,Unsatisfied,Unsatisfied,TRUE,Very satisfied,TRUE,No,FALSE,Unsatisfied,Very unsatisfied,Unsatisfied,Satisfied,Friends and neighbours,CIC,Block Majhi,TRUE,FALSE,TRUE,FALSE,,A lot of trust,Quite a bit of trust,A lot of trust,A lot of trust,More than once a week,,Never,TRUE,talking,I ask for help,TRUE,Comfortable enough,now,FALSE,,,TRUE,3,Yes,No,,No,,No,Never,Decreased,No,,Very afraid,TRUE,FALSE,Not at all,Yes,No,FALSE,TRUE,FALSE,No,,FALSE,scared,"Here, in the camp",Malaysia,"Malaysia, Saudi Arabia",very negative,TRUE
12787,Female,Unsatisfied,Satisfied,,Unsatisfied,Unsatisfied,Unsatisfied,TRUE,Very satisfied,TRUE,No,FALSE,Unsatisfied,Very unsatisfied,Unsatisfied,Satisfied,Friends and neighbours,Head Mahji,Block Majhi,TRUE,FALSE,TRUE,FALSE,,A lot of trust,Quite a bit of trust,A lot of trust,A lot of trust,Never,,Never,TRUE,talking,I ask for help,TRUE,Comfortable enough,same-nothing has changed,FALSE,,,FALSE,,,No,,No,,No,Never,Decreased,No,,Very afraid,TRUE,FALSE,Not at all,Yes,No,FALSE,TRUE,FALSE,No,,FALSE,scared,"Here, in the camp",Saudi Arabia,Saudi Arabia,negative,TRUE
12788,Female,Satisfied,Satisfied,,Unsatisfied,Unsatisfied,Unsatisfied,TRUE,Very satisfied,TRUE,No,FALSE,Unsatisfied,Very unsatisfied,Unsatisfied,Satisfied,Family,Head Mahji,Block Majhi,TRUE,FALSE,TRUE,FALSE,,A lot of trust,A lot of trust,A lot of trust,A lot of trust,Three times a month,,Never,TRUE,talking,I ask for help,TRUE,Comfortable enough,now,FALSE,,,FALSE,,,No,,No,,No,Never,Decreased,No,,Afraid,TRUE,FALSE,Very little,Yes,No,FALSE,TRUE,FALSE,No,,FALSE,very scared,"Here, in the camp","Malaysia, Saudi Arabia",Saudi Arabia,negative,TRUE
12789,Female,Unsatisfied,Satisfied,,Unsatisfied,Unsatisfied,Unsatisfied,TRUE,Very satisfied,TRUE,No,FALSE,Unsatisfied,Very unsatisfied,Unsatisfied,Satisfied,Family,CIC,Block Majhi,TRUE,FALSE,TRUE,FALSE,,A lot of trust,Quite a bit of trust,A lot of trust,A lot of trust,Never,,Never,TRUE,talking,I ask for help,TRUE,Comfortable enough,now,FALSE,,,TRUE,5,Yes,No,,No,,No,Never,Decreased,No,,Very afraid,TRUE,FALSE,Not at all,Yes,No,TRUE,TRUE,TRUE,No,,FALSE,very scared,"Here, in the camp",Saudi Arabia,"Malaysia, Saudi Arabia",neither positive nor negative,TRUE
12790,Female,Unsatisfied,Satisfied,,Unsatisfied,Unsatisfied,Unsatisfied,TRUE,Very satisfied,TRUE,No,FALSE,Unsatisfied,Unsatisfied,Unsatisfied,Satisfied,Friends and neighbours,CIC,Block Majhi,TRUE,FALSE,TRUE,FALSE,,A lot of trust,Quite a bit of trust,A lot of trust,A lot of trust,More than once a week,,Never,TRUE,talking,I ask for help,TRUE,Comfortable enough,now,FALSE,,,TRUE,5,Yes,No,,No,,No,Never,Decreased,No,,Very afraid,TRUE,FALSE,Not at all,Yes,No,FALSE,TRUE,FALSE,No,,FALSE,scared,"Here, in the camp",I don't want to go anywhere else.,Saudi Arabia,negative,TRUE
12791,Female,Satisfied,Satisfied,,Unsatisfied,Unsatisfied,Unsatisfied,TRUE,Very satisfied,TRUE,No,FALSE,Unsatisfied,Very unsatisfied,Unsatisfied,Satisfied,Friends and neighbours,CIC,Block Majhi,TRUE,FALSE,TRUE,FALSE,,A lot of trust,Quite a bit of trust,A lot of trust,A lot of trust,More than once a week,,Never,TRUE,talking,I ask for help,TRUE,Comfortable enough,same-nothing has changed,FALSE,,,TRUE,5,Yes,No,,No,,No,Never,Decreased,No,,Very afraid,TRUE,FALSE,Very little,Yes,No,FALSE,TRUE,FALSE,No,,FALSE,scared,"Here, in the camp",Saudi Arabia,Saudi Arabia,negative,TRUE
12792,Female,Satisfied,Satisfied,,Unsatisfied,Unsatisfied,Unsatisfied,TRUE,Very satisfied,TRUE,No,FALSE,Unsatisfied,Unsatisfied,Unsatisfied,Satisfied,Family,CIC,Block Majhi,TRUE,FALSE,TRUE,FALSE,,A lot of trust,Quite a bit of trust,Quite a bit of trust,A lot of trust,Three times a month,,Never,TRUE,talking,I ask for help,TRUE,Comfortable enough,now,FALSE,,,FALSE,,,No,,No,,No,Never,Decreased,No,,Very afraid,TRUE,FALSE,Not at all,Yes,No,FALSE,TRUE,FALSE,No,,FALSE,scared,"Here, in the camp","Malaysia, Saudi Arabia",Saudi Arabia,negative,TRUE
12793,Female,Unsatisfied,Very satisfied,,Unsatisfied,Unsatisfied,Satisfied,TRUE,Very satisfied,TRUE,No,FALSE,Unsatisfied,Unsatisfied,Very unsatisfied,Satisfied,Friends and neighbours,Block Mahji,Block Majhi,TRUE,FALSE,TRUE,FALSE,,Quite a bit of trust,Quite a bit of trust,Quite a bit of trust,A lot of trust,Never,,Never,TRUE,talking,I ask for help,TRUE,Comfortable enough,same-nothing has changed,FALSE,,,TRUE,5,Yes,No,,No,,No,Never,Same,No,,Very afraid,TRUE,FALSE,Somewhat,Yes,No,FALSE,TRUE,FALSE,No,,FALSE,scared,"Here, in the camp ",I don't want to go anywhere else.,I don't know about the majority,negative,TRUE
12794,Female,Unsatisfied,Satisfied,,Satisfied,Unsatisfied,Very satisfied,TRUE,Very satisfied,TRUE,No,FALSE,Unsatisfied,Unsatisfied,Very unsatisfied,Satisfied,Friends and neighbours,Block Mahji,Block Majhi,TRUE,FALSE,TRUE,FALSE,,Quite a bit of trust,A lot of trust,A lot of trust,A lot of trust,Never,,Never,TRUE,talking,I ask for help,TRUE,Comfortable enough,same-nothing has changed,FALSE,,,FALSE,,,No,,No,,No,Never,Same,No,,Very afraid,TRUE,FALSE,Very little,Yes,No,FALSE,TRUE,FALSE,No,,FALSE,very scared,"Here, in the camp ",I don't want to go anywhere else.,No reply/No comment,neither positive nor negative,TRUE
12795,Female,Unsatisfied,Satisfied,,Very unsatisfied,Unsatisfied,Satisfied,TRUE,Very satisfied,TRUE,No,FALSE,Satisfied,Unsatisfied,Very unsatisfied,Satisfied,Family,Block Mahji,Block Majhi,TRUE,FALSE,TRUE,FALSE,,A lot of trust,Quite a bit of trust,Quite a bit of trust,A lot of trust,Never,,Never,TRUE,talking,I ask for help,TRUE,Comfortable enough,now,FALSE,,,TRUE,10,Yes,No,,No,,No,A few times a year,Decreased,No,,Very afraid,TRUE,FALSE,Somewhat,Yes,No,FALSE,FALSE,FALSE,No,,FALSE,scared,"Here, in the camp ",No reply/No comment,I don't know about the majority,neither positive nor negative,TRUE
12796,Female,Unsatisfied,Very satisfied,,Unsatisfied,Unsatisfied,Very satisfied,TRUE,Very satisfied,TRUE,No,FALSE,Unsatisfied,Unsatisfied,Very unsatisfied,Very satisfied,Friends and neighbours,Block Mahji,Block Majhi,TRUE,FALSE,TRUE,FALSE,,A lot of trust,A lot of trust,A lot of trust,A lot of trust,Never,,Never,TRUE,talking,I ask for help,TRUE,Very comfortable,same-nothing has changed,FALSE,,,TRUE,12,Yes,No,,No,,No,Never,Same,No,,Very afraid,TRUE,FALSE,Somewhat,Yes,No,FALSE,TRUE,FALSE,No,,FALSE,very scared,No reply/No comment,Saudi Arabia,Saudi Arabia,positive,TRUE
12797,Female,Satisfied,Very satisfied,,Satisfied,Unsatisfied,Satisfied,TRUE,Very satisfied,TRUE,No,FALSE,Satisfied,Unsatisfied,Very unsatisfied,Satisfied,Family,Parents,Neighbour,TRUE,FALSE,TRUE,FALSE,,Quite a bit of trust,Quite a bit of trust,Little trust,A lot of trust,Every few months,,Never,TRUE,talking,I ask for help,TRUE,Very comfortable,same-nothing has changed,FALSE,,,FALSE,,,No,,No,,No,Never,Same,No,,Afraid,TRUE,FALSE,Somewhat,Yes,No,FALSE,TRUE,FALSE,No,,FALSE,very scared,"Here, in the camp ",Canada,Canada,positive,TRUE
12798,Female,Unsatisfied,Very satisfied,,Unsatisfied,Unsatisfied,Satisfied,TRUE,Very satisfied,TRUE,No,FALSE,Unsatisfied,Unsatisfied,Very unsatisfied,Satisfied,Friends and neighbours,Block Mahji,Block Majhi,TRUE,FALSE,TRUE,FALSE,,Quite a bit of trust,Quite a bit of trust,Quite a bit of trust,A lot of trust,Never,,Never,TRUE,talking,I ask for help,TRUE,Comfortable enough,same-nothing has changed,FALSE,,,FALSE,,,No,,No,,No,A few times a year,Decreased,No,,Very afraid,TRUE,FALSE,Somewhat,Yes,No,TRUE,TRUE,TRUE,No,,FALSE,very scared,No reply/No comment,I don't want to go anywhere else.,I don't know about the majority,neither positive nor negative,TRUE
