Row_ID,Sex,Is Satisfied with space allocated,Is satisfied with hygiene and sanitation,Is enough healthcare facilities,Is satisfied with the quality of healthcare,Is satisfied with the level of psychological support,Is satisfied with the level of social support,Able to exercise religion freely,Is satisfied with the no of religious facilities,Is enough educational opportunities (< 12 yrs),Are enough educational opportunities (12-18 yrs),Are enough educational opportunities (> 18 yrs),Is satisfied with the quality of education,Is satisfied with the no of job opportunities,Is satisfied with the income,Is satisfied with the overall help from NGOs,Enough good friends,Consider any Bangladeshis as friends,Believe Rohingya and Bangladeshis can be good friends,Have trust on the police/military/guards of camps in Bangladesh,Trust on the NGOs in the camp,Feel stressed or overwhelmed by situation,Talking about problems with others ,Solving problems alone or by asking others,Comfortable talking about problems with NGO workers,Is the situation in the camp is better now or 6 months ago,Smoke cigarettes?,Average cigarettes per day,Smoke before coming to Bangladesh,Chew betel nuts,How many betel nuts a day on average?,Chew before coming to Bangladesh,Ever seen any Rohingya use medicine or syrup often without needing it,Suspense any Rohingya in the camp who use drug,Have you ever seen any Rohingya in the camp use illegal substances (like alcohol or drugs)?,Suspense any Rohingya in the camp who are involved in illegal activities,Hear people talking about violent groups in the camp,Thoughts on violence in the camp has changed over time,Thoughts on sexual harassment in the camp happens often,Where does sexual harassment happen the most?,How afraid are you to leave your child unattended in the camp after it gets dark?,Do you think that there are Rohingya families whose child has gone missing since they moved to Bangladesh?,Do you personally know any Rohingya families whose child has gone missing since they moved to this camp?,To what extent do you feel at home in the camp in Bangladesh now?,Do you know that the Bangladesh government plans on moving Rohingya to Bhasan Char?,Are you willing to go?,Do you think that the government of Myanmar will recognize the rights of Rohingya in the next two years?,Will you return to Myanmar?,Do you think that repatriation to Myanmar will happen in the next two years?,Know any Rohingya who left Bangladesh in the last six months,Where did they go?,Have you thought about leaving to go to another country other than Myanmar and Bangladesh?,How scared are you to leave for another country?,Where do you think you will be in six months from now?,"If you could choose any country in the world, other than Myanmar, where would you go?",Where do you think the majority of Rohingya would choose to go if they could choose freely (apart from Myanmar)?,How do you feel about the future?
11628,Female,Unsatisfied,Very satisfied,TRUE,Satisfied,Unsatisfied,Neither satisfied nor unsatisfied,TRUE,Very satisfied,TRUE,No,FALSE,Very unsatisfied,Satisfied,Unsatisfied,Unsatisfied,TRUE,TRUE,TRUE,Little trust,Quite a bit of trust,TRUE,trying to forget,I ask for help,Very comfortable,same-nothing has changed,FALSE,,,TRUE,3,Yes,,No,,I don't want to answer,A few times a year,Decreased a lot,Yes,In the streets,Very afraid,TRUE,FALSE,Very little,Yes,No,FALSE,TRUE,FALSE,No,,FALSE,very scared,"Here, in the camp ",USA,USA,positive
11629,Female,Unsatisfied,Satisfied,TRUE,Very unsatisfied,Satisfied,Very satisfied,TRUE,Very satisfied,TRUE,No,FALSE,Unsatisfied,Unsatisfied,Unsatisfied,Satisfied,TRUE,FALSE,FALSE,Little trust,A lot of trust,FALSE,trying to forget,I ask for help,Comfortable enough,same-nothing has changed,FALSE,,,TRUE,20,Yes,,No,,No,Never,Decreased a lot,I don't want to answer,,Afraid,TRUE,FALSE,Very little,Yes,No,FALSE,FALSE,FALSE,No,,FALSE,very scared,Another (peaceful) place/country,Canada,Canada,very positive
11630,Female,Satisfied,Satisfied,TRUE,Unsatisfied,Very satisfied,Satisfied,TRUE,Very satisfied,TRUE,No,FALSE,Satisfied,Unsatisfied,Unsatisfied,Satisfied,TRUE,FALSE,FALSE,A lot of trust,A lot of trust,TRUE,trying to forget,I ask for help,Very comfortable,same-nothing has changed,FALSE,,,FALSE,,,,No,,I don't want to answer,Never,Decreased,I don't want to answer,,Not afraid,TRUE,FALSE,To a great extent,Yes,No,FALSE,FALSE,FALSE,No,,TRUE,scared,"Here, in the camp ",Saudi Arabia,Australia,positive
11631,Female,Satisfied,Unsatisfied,TRUE,Unsatisfied,Unsatisfied,Very satisfied,TRUE,Very satisfied,TRUE,No,FALSE,Unsatisfied,Very unsatisfied,Unsatisfied,Satisfied,TRUE,FALSE,TRUE,Little trust,Quite a bit of trust,TRUE,talking,I ask for help,Uncomfortable,same-nothing has changed,FALSE,,,TRUE,15,Yes,,I don't want to answer,,Yes,A few times a month,Same,I don't want to answer,,Very afraid,TRUE,FALSE,Very little,Yes,No,FALSE,TRUE,FALSE,No,,TRUE,not scared,"Here, in the camp ",USA,USA,very positive
11632,Female,Unsatisfied,Unsatisfied,TRUE,Satisfied,Very satisfied,Satisfied,TRUE,Very satisfied,TRUE,No,FALSE,Very unsatisfied,Unsatisfied,Very unsatisfied,Satisfied,TRUE,FALSE,FALSE,Quite a bit of trust,A lot of trust,TRUE,talking,I solve my problems myself,Very uncomfortable,six months ago,FALSE,,,FALSE,,,,I don't want to answer,,I don't want to answer,Never,Decreased a lot,I don't want to answer,,Very afraid,TRUE,FALSE,Very little,Yes,No,FALSE,TRUE,FALSE,Yes,Malaysia,FALSE,very scared,Myanmar/Motherland,Canada,Canada,very positive
11633,Female,Unsatisfied,Satisfied,TRUE,Satisfied,Satisfied,Very satisfied,TRUE,Very satisfied,TRUE,No,FALSE,Unsatisfied,Very unsatisfied,Very unsatisfied,Satisfied,TRUE,FALSE,TRUE,Quite a bit of trust,Quite a bit of trust,FALSE,trying to forget,I ask for help,Comfortable enough,same-nothing has changed,FALSE,,,TRUE,5,Yes,,I don't want to answer,,I don't want to answer,A few times a year,Decreased,Yes,In the market,Very afraid,TRUE,FALSE,Very little,Yes,No,FALSE,TRUE,FALSE,Yes,India,FALSE,very scared,"Here, in the camp",Saudi Arabia,Saudi Arabia,positive
11634,Female,Unsatisfied,Satisfied,TRUE,Unsatisfied,Unsatisfied,Very satisfied,TRUE,Very satisfied,TRUE,No,FALSE,Very unsatisfied,Satisfied,Satisfied,Satisfied,TRUE,TRUE,TRUE,Little trust,Quite a bit of trust,TRUE,trying to forget,I ask for help,Comfortable enough,same-nothing has changed,FALSE,,,TRUE,5,Yes,,I don't want to answer,,I don't want to answer,A few times a year,Same,I don't want to answer,,Very afraid,TRUE,FALSE,Very little,Yes,No,FALSE,TRUE,FALSE,No,,FALSE,very scared,"Here, in the camp ",Canada,Canada,very positive
11635,Female,Satisfied,Satisfied,TRUE,Very unsatisfied,Satisfied,Very satisfied,TRUE,Very satisfied,TRUE,No,FALSE,Satisfied,Unsatisfied,Unsatisfied,Unsatisfied,TRUE,TRUE,TRUE,Quite a bit of trust,Little trust,TRUE,trying to forget,I ask for help,Comfortable enough,same-nothing has changed,FALSE,,,TRUE,12,Yes,,I don't want to answer,,I don't want to answer,Never,Same,I don't want to answer,,Very afraid,TRUE,FALSE,Very little,Yes,No,FALSE,TRUE,FALSE,No,,FALSE,very scared,"Here, in the camp",Australia,Australia,very positive
11637,Female,Unsatisfied,Satisfied,TRUE,Very unsatisfied,Unsatisfied,Satisfied,TRUE,Very satisfied,TRUE,No,FALSE,Satisfied,Unsatisfied,Very unsatisfied,Satisfied,TRUE,FALSE,FALSE,No trust at all,Quite a bit of trust,TRUE,trying to forget,I ask for help,Comfortable enough,same-nothing has changed,FALSE,,,TRUE,3,Yes,,I don't want to answer,,I don't want to answer,A few times a month,Same,I don't want to answer,,Afraid,FALSE,,To a great extent,Yes,No,FALSE,FALSE,FALSE,No,,TRUE,scared,"Here, in the camp",Malaysia,Malaysia,positive
11639,Female,Unsatisfied,Unsatisfied,TRUE,Satisfied,Satisfied,Very satisfied,TRUE,Very satisfied,TRUE,No,FALSE,Unsatisfied,Unsatisfied,Unsatisfied,Unsatisfied,TRUE,TRUE,TRUE,Quite a bit of trust,A lot of trust,TRUE,trying to forget,I ask for help,Comfortable enough,six months ago,FALSE,,,FALSE,,,,I don't want to answer,,I don't want to answer,A few times a year,Increased,Yes,In the streets,Very afraid,TRUE,FALSE,Very little,Yes,No,FALSE,TRUE,FALSE,No,,TRUE,scared,"Here, in the camp",Canada,Canada,neither positive nor negative
